County,A10i,A21,B3B,incomegpnew,freq
West Pokot,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Turkana,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",17
Nakuru,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Busia,Female,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",4
Marsabit,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",14
Bungoma,Male,Secondary completed ,Pension/Annuity,"KSh 10,001-20,000",3
Nyandarua,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",5
Kajiado,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Nakuru,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Siaya,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",4
Kakamega,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Vihiga,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",9
Wajir,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Nyamira,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Tana River,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",22
Mandera,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",19
Kisumu,Female,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",4
Kiambu,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Kiambu,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",5
Embu,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Kwale,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Mombasa,Male,Primary completed,Employed,"KSh 20,001 - 50,000",3
Vihiga,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,6
Migori,Female,Some primary ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Marsabit,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Bomet,Female,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Bungoma,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",5
Mandera,Female,None ,Casual worker,"KSh 10,001-20,000",12
Kilifi,Female,Secondary completed ,Employed,"KSh 5,001 - 10,000",1
Murang'a,Female,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Uasin Gishu,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Nairobi City,Male,Primary completed,"Renting,  land, house/rooms, equipment","KSh 5,001 - 10,000",1
Kwale,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Murang'a,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",1
Uasin Gishu,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Busia,Female,Some primary ,Employed,"KSh 1,001 - 3,000",3
Narok,Male,Primary completed,Casual worker,Don't Know,2
Bungoma,Male,Some primary ,Money / support from family / friends / spouse,Refused to Answer,4
Bungoma,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",11
Uasin Gishu,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",5
Kisii,Male,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",4
Homabay,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Siaya,Male,Some secondary,Running own business/Self employed,"KSh 20,001 - 50,000",1
Kisii,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Nyandarua,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",4
Kiambu,Male,Some technical training after secondary school,Casual worker,"KSh 10,001-20,000",2
Kakamega,Male,Primary completed,Running own business/Self employed,Don't Know,1
Mandera,Male,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",11
Uasin Gishu,Male,Secondary completed ,Money / support from family / friends / spouse,Don't Know,6
Kisii,Female,Some primary ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Kajiado,Female,Primary completed,Casual worker,"KSh 5,001 - 10,000",6
Meru,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",6
Meru,Female,None ,Money / support from family / friends / spouse,Don't Know,4
Kisumu,Male,Primary completed,Casual worker,"KSh 10,001-20,000",2
Kitui,Female,Primary completed,Casual worker,"KSh 3,001 - 5,000",5
Kiambu,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,2
Bomet,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,4
Uasin Gishu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 10,001-20,000",2
Nairobi City,Male,Primary completed,Casual worker,Don't Know,8
Nakuru,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Trans Nzoia,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",4
Narok,Male,Primary completed,Employed,"KSh 3,001 - 5,000",2
Turkana,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",27
Busia,Male,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",2
Kilifi,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Kitui,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",8
Samburu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Nakuru,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",2
Nyandarua,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",2
Murang'a,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Machakos,Male,Primary completed,Casual worker,"KSh 1 - 1,000",2
Uasin Gishu,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",10
Machakos,Female,University completed ,Casual worker,"KSh 10,001-20,000",1
Machakos,Female,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",2
Homabay,Female,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",3
Kericho,Female,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",2
Marsabit,Male,None ,Employed,"KSh 5,001 - 10,000",1
Makueni,Male,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Meru,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 20,001 - 50,000",1
Kisii,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",7
Siaya,Female,Primary completed,Casual worker,"KSh 5,001 - 10,000",3
Siaya,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Lamu,Male,Some primary ,Employed,"KSh 5,001 - 10,000",4
Isiolo,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Lamu,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kajiado,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",9
Nyamira,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",10
Isiolo,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Nakuru,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",10
Trans Nzoia,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",5
Lamu,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Mombasa,Male,Primary completed,Money / support from family / friends / spouse,Don't Know,4
Kisumu,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
West Pokot,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,1
Meru,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Kitui,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",5
Kisumu,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",9
Trans Nzoia,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",3
Nairobi City,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",6
Kilifi,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",1
Kiambu,Female,Primary completed,Casual worker,"KSh 1 - 1,000",2
Tana River,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",4
Mombasa,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Uasin Gishu,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Marsabit,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",1
Kwale,Male,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",5
Kajiado,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",4
Trans Nzoia,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",6
Siaya,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",7
Busia,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",7
Kisii,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",12
Meru,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",7
Bomet,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",4
Tharaka-Nithi,Male,Secondary completed ,Money / support from family / friends / spouse,Don't Know,4
Migori,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",4
Mandera,Female,None ,Running own business/Self employed,"KSh 20,001 - 50,000",2
Kisumu,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",2
Nairobi City,Female,Some primary ,Money / support from family / friends / spouse,Don't Know,1
Kajiado,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",6
West Pokot,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",14
Narok,Male,None ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Uasin Gishu,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",4
Mombasa,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",2
Taita-Taveta,Female,University completed ,"Renting,  land, house/rooms, equipment","KSh 20,001 - 50,000",1
Nandi,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
West Pokot,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Kirinyaga,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Murang'a,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Murang'a,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",9
Narok,Male,Some primary ,Casual worker,Don't Know,3
Mandera,Male,None ,Casual worker,"KSh 10,001-20,000",11
Kisii,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",6
Nairobi City,Male,Some secondary,Casual worker,"KSh 10,001-20,000",2
Nairobi City,Male,Primary completed,Money / support from family / friends / spouse,Don't Know,6
Kitui,Male,University completed ,Casual worker,"KSh 5,001 - 10,000",3
Kisumu,Female,Some primary ,Casual worker,"KSh 1 - 1,000",3
Kitui,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Kwale,Male,Some primary ,Casual worker,"KSh 5,001 - 10,000",6
Kirinyaga,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Laikipia,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",4
Bomet,Female,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Turkana,Female,None ,Running own business/Self employed,"KSh 5,001 - 10,000",13
Kajiado,Female,Some primary ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Homabay,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",11
Wajir,Male,None ,Money / support from family / friends / spouse,Don't Know,4
Kisii,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nairobi City,Male,Primary completed,Casual worker,Refused to Answer,1
Nandi,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",8
Embu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",7
Homabay,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",5
Makueni,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",3
Mombasa,Male,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",4
Nyamira,Male,Primary completed,Employed,"KSh 5,001 - 10,000",3
Kwale,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Kirinyaga,Male,Some secondary,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Nairobi City,Male,Secondary completed ,Casual worker,Refused to Answer,3
Busia,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 50,001 - 100,000",1
Machakos,Female,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Kisumu,Male,Some primary ,Casual worker,"KSh 1 - 1,000",7
Machakos,Male,Some secondary,Casual worker,"KSh 10,001-20,000",4
Homabay,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Homabay,Male,Secondary completed ,Employed,"KSh 10,001-20,000",2
Laikipia,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",2
Nyandarua,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Turkana,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",16
Nakuru,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",8
Narok,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Bungoma,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Isiolo,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",4
Elgeyo-Marakwet,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",8
Kakamega,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,15
Kakamega,Male,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",5
Samburu,Female,None ,Casual worker,"KSh 1,001 - 3,000",12
Kisumu,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 20,001 - 50,000",3
Kericho,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Tharaka-Nithi,Female,Some technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kisumu,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",2
Machakos,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Bomet,Male,Some primary ,Casual worker,Don't Know,3
Machakos,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",2
Kisumu,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",12
Elgeyo-Marakwet,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",3
Nakuru,Female,None ,Money / support from family / friends / spouse,Don't Know,5
Embu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,10
Nakuru,Female,None ,Casual worker,Don't Know,1
Tana River,Male,None ,Money / support from family / friends / spouse,Don't Know,18
Nairobi City,Male,Primary completed,Running own business/Self employed,"KSh 1 - 1,000",1
Nairobi City,Male,Some technical training after secondary school,Casual worker,"KSh 10,001-20,000",2
Siaya,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",5
Turkana,Female,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Nairobi City,Female,Secondary completed ,Casual worker,"KSh 10,001-20,000",10
Busia,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",9
Kakamega,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Migori,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Nakuru,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
